stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,paradas_id,alcaldia
05c62a,N/A,Dep. 18 Mzo. L1.,19.48623793424297,-99.1244673728943,0,N/A,0,346,Gustavo A. Madero
952042,N/A,Euzkaro.,19.48249627893007,-99.12754475940076,0,N/A,0,347,Gustavo A. Madero
05c635,N/A,Potrero.,19.47677258165376,-99.13216565546826,0,N/A,0,348,Gustavo A. Madero
078bbb,N/A,314 Memorial New's Divine.,19.500538931132954,-99.08845335245137,0,N/A,0,349,Gustavo A. Madero
405dd7,N/A,5 de Mayo.,19.49698149923792,-99.08995270729064,0,N/A,0,350,Gustavo A. Madero
c98cea,N/A,Vasco de Quiroga.,19.49321665493636,-99.09156471490864,0,N/A,0,351,Gustavo A. Madero
405e23,N/A,El Coyol.,19.48746681775229,-99.09398943185808,0,N/A,0,352,Gustavo A. Madero
c98cf8,N/A,Preparatoria 3.,19.48331740206377,-99.09581601619722,0,N/A,0,353,Gustavo A. Madero
25e1ff,N/A,San Juan de Aragn L5.,19.47985315275,-99.09727782011034,0,N/A,0,354,Gustavo A. Madero
2db784,N/A,Ro de Guadalupe.,19.475956415894355,-99.09893810749055,0,N/A,0,355,Gustavo A. Madero
c98d0a,N/A,Talismn L5.,19.470931737560875,-99.1011402010918,0,N/A,0,356,Gustavo A. Madero
25e20b,N/A,Victoria.,19.46719808467222,-99.10268880978848,0,N/A,0,357,Gustavo A. Madero
405e42,N/A,Oriente 101.,19.46082627614275,-99.10540491342546,0,N/A,0,358,Gustavo A. Madero
dd52c3,N/A,Ro Santa Coleta.,19.455995865643047,-99.10739511251452,0,N/A,0,359,Gustavo A. Madero
25e216,N/A,Ro Consulado.,19.453590722786963,-99.10833120346072,0,N/A,0,360,Gustavo A. Madero
2db7a4,N/A,Metro Coyuya L5.,19.39923750658907,-99.11344095049589,0,N/A,0,361,Iztacalco
